Voltage,Current1
-1.00E+00,-4.65E-07
-9.90E-01,-3.25E-07
-9.80E-01,-2.63E-07
-9.70E-01,-2.27E-07
-9.60E-01,-1.96E-07
-9.50E-01,-1.76E-07
-9.40E-01,-1.59E-07
-9.30E-01,-1.46E-07
-9.20E-01,-1.34E-07
-9.10E-01,-1.23E-07
-9.00E-01,-1.14E-07
-8.90E-01,-1.06E-07
-8.80E-01,-9.84E-08
-8.70E-01,-9.06E-08
-8.60E-01,-7.92E-08
-8.50E-01,-7.33E-08
-8.40E-01,-6.82E-08
-8.30E-01,-6.36E-08
-8.20E-01,-5.93E-08
-8.10E-01,-5.54E-08
-8.00E-01,-5.17E-08
-7.90E-01,-4.84E-08
-7.80E-01,-4.53E-08
-7.70E-01,-4.22E-08
-7.60E-01,-3.96E-08
-7.50E-01,-3.73E-08
-7.40E-01,-3.46E-08
-7.30E-01,-3.23E-08
-7.20E-01,-3.01E-08
-7.10E-01,-2.81E-08
-7.00E-01,-2.62E-08
-6.90E-01,-2.44E-08
-6.80E-01,-2.27E-08
-6.70E-01,-2.12E-08
-6.60E-01,-1.97E-08
-6.50E-01,-1.82E-08
-6.40E-01,-1.70E-08
-6.30E-01,-1.57E-08
-6.20E-01,-1.45E-08
-6.10E-01,-1.33E-08
-6.00E-01,-1.23E-08
-5.90E-01,-1.12E-08
-5.80E-01,-1.02E-08
-5.70E-01,-9.57E-09
-5.60E-01,-8.52E-09
-5.50E-01,-7.64E-09
-5.40E-01,-6.76E-09
-5.30E-01,-5.96E-09
-5.20E-01,-5.24E-09
-5.10E-01,-4.50E-09
-5.00E-01,-3.73E-09
-4.90E-01,-3.13E-09
-4.80E-01,-2.57E-09
-4.70E-01,-1.91E-09
-4.60E-01,-1.33E-09
-4.50E-01,-9.82E-10
-4.40E-01,-6.80E-10
-4.30E-01,-2.08E-10
-4.20E-01,1.35E-10
-4.10E-01,4.20E-10
-4.00E-01,9.48E-10
-3.90E-01,1.46E-09
-3.80E-01,2.60E-09
-3.70E-01,3.21E-09
-3.60E-01,3.94E-09
-3.50E-01,4.49E-09
-3.40E-01,5.05E-09
-3.30E-01,5.72E-09
-3.20E-01,6.21E-09
-3.10E-01,6.66E-09
-3.00E-01,7.12E-09
-2.90E-01,7.63E-09
-2.80E-01,8.13E-09
-2.70E-01,8.66E-09
-2.60E-01,9.18E-09
-2.50E-01,9.71E-09
-2.40E-01,1.02E-08
-2.30E-01,1.07E-08
-2.20E-01,1.13E-08
-2.10E-01,1.18E-08
-2.00E-01,1.19E-08
-1.90E-01,1.26E-08
-1.80E-01,1.32E-08
-1.70E-01,1.38E-08
-1.60E-01,1.43E-08
-1.50E-01,1.49E-08
-1.40E-01,1.55E-08
-1.30E-01,1.61E-08
-1.20E-01,1.68E-08
-1.10E-01,1.74E-08
-1.00E-01,1.81E-08
-9.00E-02,1.87E-08
-8.00E-02,1.93E-08
-7.00E-02,2.01E-08
-6.00E-02,2.08E-08
-5.00E-02,2.15E-08
-4.00E-02,2.23E-08
-3.00E-02,2.31E-08
-2.00E-02,2.38E-08
-1.00E-02,2.47E-08
0.00E+00,2.54E-08
1.00E-02,2.64E-08
2.00E-02,2.72E-08
3.00E-02,2.82E-08
4.00E-02,2.91E-08
5.00E-02,3.01E-08
6.00E-02,3.11E-08
7.00E-02,3.21E-08
8.00E-02,3.31E-08
9.00E-02,3.40E-08
1.00E-01,3.49E-08
1.10E-01,3.58E-08
1.20E-01,3.69E-08
1.30E-01,3.81E-08
1.40E-01,3.66E-08
1.50E-01,3.81E-08
1.60E-01,3.94E-08
1.70E-01,4.07E-08
1.80E-01,4.19E-08
1.90E-01,4.31E-08
2.00E-01,4.43E-08
2.10E-01,4.53E-08
2.20E-01,4.64E-08
2.30E-01,4.75E-08
2.40E-01,4.86E-08
2.50E-01,4.94E-08
2.60E-01,5.04E-08
2.70E-01,5.12E-08
2.80E-01,5.20E-08
2.90E-01,5.29E-08
3.00E-01,5.37E-08
3.10E-01,5.44E-08
3.20E-01,5.51E-08
3.30E-01,5.59E-08
3.40E-01,5.64E-08
3.50E-01,5.67E-08
3.60E-01,5.74E-08
3.70E-01,5.80E-08
3.80E-01,5.85E-08
3.90E-01,5.87E-08
4.00E-01,5.90E-08
4.10E-01,5.93E-08
4.20E-01,5.95E-08
4.30E-01,5.98E-08
4.40E-01,5.99E-08
4.50E-01,6.02E-08
4.60E-01,6.04E-08
4.70E-01,6.05E-08
4.80E-01,6.07E-08
4.90E-01,6.09E-08
5.00E-01,6.11E-08
5.10E-01,6.13E-08
5.20E-01,6.17E-08
5.30E-01,6.21E-08
5.40E-01,6.25E-08
5.50E-01,6.30E-08
5.60E-01,6.34E-08
5.70E-01,6.40E-08
5.80E-01,6.47E-08
5.90E-01,6.54E-08
6.00E-01,6.61E-08
6.10E-01,6.69E-08
6.20E-01,6.77E-08
6.30E-01,6.86E-08
6.40E-01,6.94E-08
6.50E-01,7.06E-08
6.60E-01,7.18E-08
6.70E-01,7.30E-08
6.80E-01,7.42E-08
6.90E-01,7.55E-08
7.00E-01,7.68E-08
7.10E-01,7.82E-08
7.20E-01,7.96E-08
7.30E-01,8.11E-08
7.40E-01,8.25E-08
7.50E-01,8.40E-08
7.60E-01,8.57E-08
7.70E-01,8.76E-08
7.80E-01,8.95E-08
7.90E-01,9.16E-08
8.00E-01,9.37E-08
8.10E-01,9.59E-08
8.20E-01,9.82E-08
8.30E-01,9.24E-08
8.40E-01,9.00E-08
8.50E-01,9.66E-08
8.60E-01,9.28E-08
8.70E-01,1.01E-07
8.80E-01,1.05E-07
8.90E-01,1.09E-07
9.00E-01,1.13E-07
9.10E-01,1.17E-07
9.20E-01,1.22E-07
9.30E-01,1.26E-07
9.40E-01,1.31E-07
9.50E-01,1.36E-07
9.60E-01,1.42E-07
9.70E-01,1.47E-07
9.80E-01,1.53E-07
9.90E-01,1.59E-07
1.00E+00,1.66E-07
